Manan Sharma,,,,,,
ASTRA,Autonomous Stabilised Thrust Recovery Ascent,,,,,
,,,,,,
BOM-,,,,,,
Name,Use case,price each,units,total price inr,total price usd,link
Carbon Fibre rods,Landing legs,140,2,280,,https://thinkrobotics.com/products/carbon-fiber-solid-tube-1-m?variant=39329659650134
MG90S servo motors, Landing legs deployment,429,4,1720,,https://thinkrobotics.com/products/sg5010-coreless-servo
NO2 Whipped cream chargers,Oxidiser for the fuel,2800,1,2800,,https://www.amazon.in/Chargers-Stainless-Laughing-Disposable-Capsules/dp/B07V6BYFWY/ref=sr_1_5?crid=LOQWHTIU1YO5&dib=eyJ2IjoiMSJ9.3Mi9-kbbkoR5Lhmdt8WsVlOImnoF9Top4r5I-AMKT9Nisn36dmYXxJjSW5XvZnS44Khgbm4fUNdUyQ-yCG2x5Cl9sACZIAD0GVh8u1Ciu2pqCKxXeL8Kc9RdeYdc3Y6GeaUCDEAVFLPr2L4XwYjNYR906jXKDZ4xxgOHLCunBq3IfDK3Yv9_6WKHmKbsyguSb6lfUEej6D3uu_TVPgaKAuQMJNXkyOqESYnmGB9NyTH9ZMIIeosRYff3hJQfFhJrvJyVuWsHWpDIgrmZDKGTBg4oySoEAzIxdw23C4JX-KU.q6Lk9UdU-mIyjgrbclT-LQoMjdKnxMxzGX4bwg9gqDQ&dib_tag=se&keywords=whipped+cream+no2+chargers&qid=1752577837&sprefix=whipped+cream+no2+charger%2Caps%2C246&sr=8-5
Paraffin wax,Main fuel,300,5,1500,,https://www.amazon.in/Fully-Refined-Paraffin-Granules-White/dp/B09C4397P1/ref=sr_1_8?crid=K6EAN4AK1NC9&dib=eyJ2IjoiMSJ9.8p_yLmY4i-O7iH5XQDcXDwktBz1_Fut1xvtQrXsV7FJAzwd6uZ2Ii0hWKQSn6Z83TNzvFtM4JXwSIUE_d-Vqb0s-QQJsV5SrGUsb1Ea696N6auC308i9DLfoUveB0XPxi9TS9PLwIfJpcuvcpeFK2nxue-9eRP9ty00AOFPFelHk0nonuZ4b7D3tmoTF9uIhgFW7CrRMVLt3sTNbNqfQOH7nsv-42XIfH8-Mg7z-FkaoEqLJdNujJCyOnjWmD_nq5QmZJmFtyjvzDLiUhGDH-OyWklI-hwVmEKzdbjzYr_c.U4phijYpkj3p3-WYn7I_PzEAq8cp3wIOJ09hv8MIr_Q&dib_tag=se&keywords=paraffin+wax+pure+1kg&nsdOptOutParam=true&qid=1752577917&sprefix=paraffin+wax+pure+1k%2Caps%2C240&sr=8-8
Carbon Fibre tube,main body,4000,1,4000,,https://thinkrobotics.com/products/high-quality-3k-twill-roll-wrapped-carbon-fibre-hollow-round-tube-gloss?variant=45269902721341
LiDar sensor,to measure height quickly,4000,2,8000,,https://thinkrobotics.com/products/ydlidar-gs2-100-30-cm-lidar
